Date,Close,High,Low,Open,Volume
2022-05-06,154.471313,156.592744,151.426667,153.223989,116124600
2022-05-09,149.344543,153.047224,148.784730,152.163287,131577900
2022-05-10,151.750778,153.940966,150.198992,152.742751,115366700
2022-05-11,143.883850,152.674021,143.206169,150.758846,142689800
2022-05-12,140.014206,143.589203,136.321356,140.220462,182602000
2022-05-13,144.482941,145.455267,140.554372,142.007938,113990900
2022-05-16,142.940994,144.885647,141.605280,142.950825,86643800
2022-05-17,146.574936,147.095470,144.060639,146.201717,78336300
2022-05-18,138.305313,144.728518,137.401729,144.227631,109742900
2022-05-19,134.897247,139.130278,134.160641,137.382066,136095600
2022-05-20,135.132965,138.187428,130.241900,136.606179,137426100
2022-05-23,140.554398,140.701713,135.191894,135.329393,117726300
2022-05-24,137.853500,139.434750,134.877610,138.295461,104132700
2022-05-25,138.010635,139.257945,135.869557,135.957947,92482700
2022-05-26,141.212433,141.762430,134.691008,134.936544,90601500
2022-05-27,146.967758,147.007037,142.665971,142.793654,90978500
2022-05-31,146.182053,147.969559,144.217768,146.407956,103718400
2022-06-01,146.054367,149.030257,145.042747,147.223104,74286600
2022-06-02,148.509735,148.568661,144.237410,145.190090,72348100
2022-06-03,142.783844,145.327589,141.880275,144.276689,88570300
2022-06-06,143.530258,145.916871,142.312396,144.404364,71598400
2022-06-07,146.054367,146.339182,141.526691,141.772227,67808200
2022-06-08,145.317764,147.193644,144.826693,145.926688,53950200
2022-06-09,140.092758,145.307931,139.984722,144.453472,69473000
2022-06-10,134.681152,138.246318,134.612395,137.774894,91437900
2022-06-13,129.524933,132.785638,129.092788,130.497244,122207100
2022-06-14,130.389206,131.499032,129.132065,130.752609,84784300
2022-06-15,133.011490,134.887385,129.799896,131.891849,91533000
2022-06-16,127.737411,130.025805,126.735622,129.721343,108123900
2022-06-17,129.210648,130.703508,127.491898,127.747265,134520300
2022-06-21,133.443634,134.612385,130.939184,131.037389,81000500
2022-06-22,132.932938,135.299889,131.518651,132.382925,73409200
2022-06-23,135.800781,136.115059,133.207927,134.376678,72433800
2022-06-24,139.130295,139.375830,137.274046,137.401715,89116800
2022-06-27,139.130295,140.927617,138.452614,140.151716,70207900
2022-06-28,134.985641,140.858848,134.867789,139.591891,67083400
2022-06-29,136.743652,138.157939,134.229371,135.005271,66242400
2022-06-30,134.278473,135.899001,131.381157,134.799007,98964500
2022-07-01,136.449036,136.557072,133.237441,133.610645,71051600
2022-07-05,139.032043,139.081154,134.484720,135.309731,73353800
2022-07-06,140.367767,141.546335,138.560629,138.825812,74064300
2022-07-07,143.736542,143.932967,140.721357,140.731174,66253700
2022-07-08,144.414185,144.915087,142.410621,142.665973,64547800
2022-07-11,142.282928,144.021324,141.212397,143.068645,63141600
2022-07-12,143.255280,145.799025,142.459747,143.157059,77588800
2022-07-13,142.891907,143.834755,139.582077,140.436551,71185600
2022-07-14,145.818649,146.290073,140.691866,141.507046,78140700
2022-07-15,147.488312,148.165992,145.553490,147.105277,76259900
2022-07-18,144.443649,148.863289,144.080247,148.048109,81420900
2022-07-19,148.303497,148.529386,144.286539,145.278497,82982400
2022-07-20,150.307022,150.974887,147.684704,148.421311,64823400
2022-07-21,152.575806,152.791878,149.226697,151.740979,65086600
2022-07-22,151.338287,153.489181,150.670438,152.615075,66675400
